iter;year;IR;EQ;RE;CS;Gov;Corp
2;19;0.022070147;0.634789453;1.588609824;0.010504309;1.079990152;1.076677861
2;20;0.00561213;0.347973289;1.602675708;0.010063386;1.185866144;1.173080665
2;21;0.000312565;0.356569862;1.640585094;0.010028532;1.219477976;1.204334756
2;22;-0.004939032;0.478250107;1.689303484;0.010120156;1.248977796;1.233600635
2;23;-0.000739921;0.478682468;1.618333652;0.010436465;1.213025774;1.204284547
2;24;0.013094896;0.731103524;1.581507137;0.01081257;1.126564068;1.12324099
2;25;0.010819798;0.666763691;1.463615778;0.010528334;1.153702614;1.149746911
2;26;0.013683929;1.336808792;1.922758853;0.010455348;1.145969707;1.141370594
2;27;0.015718392;1.547176678;2.420030118;0.010250166;1.146442794;1.14315736
2;28;0.02042331;1.491605999;2.143585811;0.010040376;1.132173896;1.129727216
2;29;0.016643882;1.052619438;2.289765059;0.009705756;1.168034084;1.162767338
2;30;0.018093358;1.191994108;2.602417427;0.009557995;1.167108742;1.164623737
2;31;0.024465563;1.364891209;2.777636292;0.009368627;1.140006763;1.141418781
2;32;0.023176592;1.360325295;2.929135354;0.00909885;1.160402453;1.157893357
2;33;0.036392717;1.486409995;2.589560104;0.009073934;1.093368029;1.092338255
2;34;0.033469912;1.356444321;2.457750289;0.008706377;1.119663137;1.116581689
2;35;0.026796638;1.020448689;2.856765098;0.008408952;1.167136233;1.157736607
2;36;0.025989224;0.866377817;3.819424579;0.008319089;1.173176473;1.165833403
2;37;0.026291961;1.00876142;3.680713102;0.008234571;1.173491129;1.167384582
2;38;0.037365525;0.916157329;3.470265737;0.008460476;1.105758778;1.108451689
2;39;0.042488222;0.932997087;3.38165444;0.008204113;1.085954797;1.090966065
2;40;0.051911642;0.841988142;2.784965295;0.008304932;1.038538348;1.043682145
2;41;0.059957702;0.809907122;2.861669409;0.008123596;1.004451656;1.013955443
2;42;0.064077035;0.631662895;2.924803138;0.007926044;0.990400086;1.002808131
2;43;0.06419434;0.597322773;2.895822102;0.007827495;0.995660866;1.001784169
2;44;0.06486585;0.771551978;2.423769814;0.007666772;0.996391197;1.004163321
2;45;0.067564529;0.749650469;2.554245944;0.007446683;0.988886931;0.997694595
2;46;0.069116775;0.695075984;2.208999388;0.007337671;0.982804098;0.992789634
2;47;0.055682575;0.421915222;2.306418386;0.007121426;1.048575706;1.055479663
2;48;0.040006417;0.275035215;2.411141274;0.007090167;1.127814475;1.130834329
2;49;0.022316319;0.129908794;2.61969902;0.007161289;1.225312922;1.223005055
2;50;0.018184182;0.041045951;2.560751733;0.00743075;1.242593414;1.239765464
3;0;0.01141;1;1;0.013605159;1;1
3;1;0.016887225;1.203554412;1.091243871;0.013454594;0.981218159;0.984098452
3;2;0.015622762;1.066683227;1.021164485;0.013186507;1.000308552;0.998873579
3;3;0.00831183;0.66574086;1.13501405;0.012553836;1.057737446;1.052363562
3;4;0.004706667;0.895024899;1.090214608;0.012306919;1.085781169;1.080281876
3;5;0.01192736;0.938592611;1.229684894;0.012462357;1.045577907;1.046640309
3;6;0.019190854;0.860408574;1.121269526;0.012292397;1.017562729;1.021593236
3;7;0.015718248;0.745566198;1.367631032;0.012042983;1.0464684;1.045997395
3;8;0.001367955;0.461354224;1.657766757;0.011379945;1.148238858;1.140085426
3;9;-0.006047028;0.254254941;1.45731248;0.011149111;1.205403988;1.193819128
3;10;-0.02467758;0.189414909;1.588968664;0.010870084;1.346607104;1.323443916
3;11;-0.013539398;0.062289706;1.503277862;0.011359964;1.269425934;1.251450094
